2026-04-02T17:22:30.636+0700	INFO	repository/image.go:60	image created successfully	{"id": 140, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775125351/debian/products/gallery/lyrbb3ximuhylenwiws1.jpg"}
2026-04-02T17:22:30.754+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:22:50.299+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:23:11.447+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:23:34.488+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:24:31.030+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:24:35.870+0700	INFO	repository/product.go:283	Get product by slug	{"slug": "whole-dried-lerak-natural-soap-nut-batik-laundry"}
2026-04-02T17:24:50.060+0700	INFO	repository/product.go:283	Get product by slug	{"slug": "whole-dried-lerak-natural-soap-nut-batik-laundry"}
2026-04-02T17:25:19.788+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:26:41.295+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:27:28.870+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:27:57.148+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:28:20.751+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:28:38.176+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:28:46.336+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:29:16.659+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:29:40.131+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:30:46.203+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:31:46.551+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:32:39.318+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:33:14.806+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:33:37.646+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:34:03.020+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:34:12.204+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:34:22.123+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:34:59.662+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:35:18.570+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:35:42.410+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:35:55.671+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:36:27.522+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:36:50.090+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:37:06.874+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:37:22.138+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:40:21.617+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:41:19.605+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:41:42.172+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:42:39.896+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:42:54.397+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:43:10.420+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:43:21.583+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:51:23.425+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:51:46.264+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:53:08.010+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:54:35.966+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:55:59.343+0700	INFO	repository/image.go:47	Creating image	{"product_id": 50, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775127360/debian/products/gallery/lof6pcvutu2fdrszkums.png"}
2026-04-02T17:55:59.415+0700	INFO	repository/image.go:60	image created successfully	{"id": 141, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775127360/debian/products/gallery/lof6pcvutu2fdrszkums.png"}
2026-04-02T17:56:00.171+0700	INFO	repository/image.go:47	Creating image	{"product_id": 50, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775127361/debian/products/gallery/bsjovofqs3b5dt3wrjmk.jpg"}
2026-04-02T17:56:00.176+0700	INFO	repository/image.go:60	image created successfully	{"id": 142, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775127361/debian/products/gallery/bsjovofqs3b5dt3wrjmk.jpg"}
2026-04-02T17:56:00.223+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:56:21.563+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:56:39.758+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T17:58:53.030+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T18:01:31.335+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T18:02:12.855+0700	INFO	repository/product.go:224	Get product by id	{"id": 50}
2026-04-02T18:02:52.469+0700	INFO	repository/image.go:47	Creating image	{"product_id": 50, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775127773/debian/products/gallery/tze9duxu3sjksjsrfifd.jpg"}
2026-04-02T18:02:52.486+0700	INFO	repository/image.go:60	image created successfully	{"id": 143, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775127773/debian/products/gallery/tze9duxu3sjksjsrfifd.jpg"}
2026-04-02T18:02:53.338+0700	INFO	repository/image.go:47	Creating image	{"product_id": 50, "image_url": "https://res.cloudinary.com/dlhpzevx1/image/upload/v1775127774/debian/products/gallery/ekbiyviumks7pi2lmbxi.jpg"}
